Timestamp,Date,Date UTC,Open,High,Low,Close,Volume
1722271200,29-07-2024,1722271200,218.55,218.78,218.41,218.51,181469
1722271500,29-07-2024,1722271500,218.49,218.74,218.48,218.69,147765
1722271800,29-07-2024,1722271800,218.7,218.85,218.48,218.84,166492
1722272100,29-07-2024,1722272100,218.83,218.89,218.7,218.78,157733
1722272400,29-07-2024,1722272400,218.8,218.97,218.72,218.95,174866
1722272700,29-07-2024,1722272700,218.96,219,218.77,218.87,225056
1722273000,29-07-2024,1722273000,218.84,219.28,218.82,218.94,372917
1722273300,29-07-2024,1722273300,218.93,219.18,218.67,219.02,429779
1722273600,29-07-2024,1722273600,219,219.07,218.74,219.02,270558
1722273900,29-07-2024,1722273900,219.02,219.08,218.66,218.7,249094
1722274200,29-07-2024,1722274200,218.7,218.93,218.53,218.79,271190
1722274500,29-07-2024,1722274500,218.8,218.97,218.77,218.93,159380
1722274800,29-07-2024,1722274800,218.93,219.07,218.85,218.9,246541
1722275100,29-07-2024,1722275100,218.9,219.09,218.79,218.8,152064
1722275400,29-07-2024,1722275400,218.81,218.82,218.5,218.52,235195
1722275700,29-07-2024,1722275700,218.53,218.63,218.32,218.36,216048
1722276000,29-07-2024,1722276000,218.37,218.39,218.12,218.21,238678
1722276300,29-07-2024,1722276300,218.22,218.39,218.05,218.19,289524
1722276600,29-07-2024,1722276600,218.2,218.48,218.08,218.48,219629
1722276900,29-07-2024,1722276900,218.46,218.67,218.31,218.61,294175
1722277200,29-07-2024,1722277200,218.36,218.57,218.34,218.44,335740
1722277500,29-07-2024,1722277500,218.44,218.58,218.27,218.35,197360
1722277800,29-07-2024,1722277800,218.34,218.35,218.07,218.3,299439
1722278100,29-07-2024,1722278100,218.32,218.44,218.18,218.2,204942
1722278400,29-07-2024,1722278400,218.21,218.45,218.18,218.31,215946
1722278700,29-07-2024,1722278700,218.31,218.37,218.17,218.31,146542
1722279000,29-07-2024,1722279000,218.31,218.35,217.97,218.24,352233
1722279300,29-07-2024,1722279300,218.22,218.63,218.21,218.57,267607
1722279600,29-07-2024,1722279600,218.56,218.72,218.36,218.65,386500
1722279900,29-07-2024,1722279900,218.67,218.75,218.47,218.56,309447
1722280200,29-07-2024,1722280200,218.56,218.74,218.56,218.66,247193
1722280500,29-07-2024,1722280500,218.65,218.65,218.45,218.53,251690
1722280800,29-07-2024,1722280800,218.54,218.69,218.43,218.61,251434
1722281100,29-07-2024,1722281100,218.62,218.63,218.44,218.59,159861
1722281400,29-07-2024,1722281400,218.59,218.64,218.46,218.6,252103
1722281700,29-07-2024,1722281700,218.6,218.91,218.54,218.9,415140
1722282000,29-07-2024,1722282000,218.93,219.1,218.81,219.1,496051
1722282300,29-07-2024,1722282300,219.1,219.12,218.66,218.73,453623
1722282600,29-07-2024,1722282600,218.74,218.75,218.24,218.34,741871
1722282900,29-07-2024,1722282900,218.33,218.7,218,218.21,1625352
1722346200,30-07-2024,1722346200,219.04,219.79,218.56,218.76,1935674
1722346500,30-07-2024,1722346500,218.79,219.52,218.69,219.49,639869
1722346800,30-07-2024,1722346800,219.5,220.32,219.46,220.18,990530
1722347100,30-07-2024,1722347100,220.19,220.26,219.59,219.87,550410
1722347400,30-07-2024,1722347400,219.85,220.21,219.62,219.96,494780
1722347700,30-07-2024,1722347700,219.97,220.06,219.22,219.64,655889
1722348000,30-07-2024,1722348000,219.66,219.88,219,219.19,575724
1722348300,30-07-2024,1722348300,219.17,219.49,219.07,219.37,465298
1722348600,30-07-2024,1722348600,219.38,219.94,219.23,219.89,373954
1722348900,30-07-2024,1722348900,219.9,220.08,219.45,219.55,521962
1722349200,30-07-2024,1722349200,219.56,219.6,218.97,219.13,585505
1722349500,30-07-2024,1722349500,219.14,219.28,219.01,219.07,382822
1722349800,30-07-2024,1722349800,219.07,219.34,218.77,218.81,513504
1722350100,30-07-2024,1722350100,218.81,218.84,218.04,218.75,653231
1722350400,30-07-2024,1722350400,218.75,218.95,218.56,218.87,408124
1722350700,30-07-2024,1722350700,218.86,219,218.71,218.85,381123
1722351000,30-07-2024,1722351000,218.88,219.04,218.61,218.9,286080
1722351300,30-07-2024,1722351300,218.92,219.07,218.62,218.72,366328
1722351600,30-07-2024,1722351600,218.68,218.82,217.52,217.55,659895
1722351900,30-07-2024,1722351900,217.58,217.8,217.34,217.78,753936
1722352200,30-07-2024,1722352200,217.77,217.93,217.33,217.38,491588
